,title,author,release year,synopsis,book length,rating,number of ratings
81,"Cinder (The Lunar Chronicles, #1)",Marissa Meyer,2012,"Humans and androids crowd the raucous streets of New Beijing. A deadly plague ravages the population. From space, a ruthless Lunar people watch, waiting to make their move. No one knows that Earth’s fate hinges on one girl. . . . Cinder, a gifted mechanic, is a cyborg. She’s a second-class citizen with a mysterious past, reviled by her stepmother and blamed for her stepsis",400,4.13,831959
82,"To Sir Phillip, With Love (Bridgertons, #5)",Julia Quinn,2003,"Sir Phillip knew from his correspondence with his dead wife's distant cousin that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming, and more than a little desperate for an offer of marriage. Except . . . she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to clo",372,3.76,140654
83,"If I Stay (If I Stay, #1)",Gayle Forman,2009,"In the blink of an eye everything changes. Seventeen ­year-old Mia has no memory of the accident; she can only recall what happened afterwards, watching her own damaged body being taken from the wreck. Little by little she struggles to put together the pieces- to figure out what she has lost, what she has left, and the very difficult choice she must make. Heartwrenchingly ",201,3.93,826176
84,"The Summer I Turned Pretty (Summer, #1)",Jenny Han,2009,"Belly measures her life in summers. Everything good, everything magical happens between the months of June and August. Winters are simply a time to count the weeks until the next summer, a place away from the beach house, away from Susannah, and most importantly, away from Jeremiah and Conrad. They are the boys that Belly has known since her very first summer—they have bee",276,3.84,396929
85,"The Mistake (Off-Campus, #2)",Elle Kennedy,2015,"He’s a player in more ways than one…College junior John Logan can get any girl he wants. For this hockey star, life is a parade of parties and hook-ups, but behind his killer grins and easygoing charm, he hides growing despair about the dead-end road he’ll be forced to walk after graduation. A sexy encounter with freshman Grace Ivers is just the distraction he needs, but w",296,4.05,225576
86,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,2007,"Call Me by Your Name is the story of a sudden and powerful romance that blossoms between an adolescent boy and a summer guest at his parents' cliff-side mansion on the Italian Riviera. Unprepared for the consequences of their attraction, at first each feigns indifference. But during the restless summer weeks that follow, unrelenting buried currents of obsession and fear, f",248,4.13,389241
87,"Well Met (Well Met, #1)",Jen DeLuca,2019,"All's faire in love and war for two sworn enemies who indulge in a harmless flirtation in a laugh-out-loud rom-com from debut author, Jen DeLuca.Emily knew there would be strings attached when she relocated to the small town of Willow Creek, Maryland, for the summer to help her sister recover from an accident, but who could anticipate getting roped into volunteering for th",335,3.85,58786
88,The Invisible Life of Addie LaRue (Hardcover),V.E. Schwab,2020,"France, 1714: in a moment of desperation, a young woman makes a Faustian bargain to live forever and is cursed to be forgotten by everyone she meets.Thus begins the extraordinary life of Addie LaRue, and a dazzling adventure that will play out across centuries and continents, across history and art, as a young woman learns how far she will go to leave her mark on the world",444,4.22,686794
89,You Deserve Each Other (Kindle Edition),Sarah Hogle,2020,"When your nemesis also happens to be your fiancé, happily ever after becomes a lot more complicated in this wickedly funny, lovers-to-enemies-to-lovers romantic comedy debut.Naomi Westfield has the perfect fiancé: Nicholas Rose holds doors open for her, remembers her restaurant orders, and comes from the kind of upstanding society family any bride would love to be a part o",368,3.95,77084
90,"From Blood and Ash (Blood and Ash, #1)",Jennifer L. Armentrout,2020,"A Maiden…Chosen from birth to usher in a new era, Poppy’s life has never been her own. The life of the Maiden is solitary. Never to be touched. Never to be looked upon. Never to be spoken to. Never to experience pleasure. Waiting for the day of her Ascension, she would rather be with the guards, fighting back the evil that took her family, than preparing to be found worthy",622,4.29,325849
91,Confess (Paperback),Colleen Hoover,2015,"Auburn Reed is determined to rebuild her shattered life and she has no room for mistakes. But when she walks into a Dallas art studio in search of a job, she doesn’t expect to become deeply attracted to the studio’s enigmatic artist, Owen Gentry.For once, Auburn takes a chance and puts her heart in control, only to discover that Owen is hiding a huge secret. The magnitude ",320,4.2,273781
92,Dear John (Hardcover),Nicholas Sparks,2006,"An angry rebel, John dropped out of school and enlisted in the Army, not knowing what else to do with his life--until he meets the girl of his dreams, Savannah. Their mutual attraction quickly grows into the kind of love that leaves Savannah waiting for John to finish his tour of duty, and John wanting to settle down with the woman who has captured his heart. But 9/11 chan",276,4.04,577789
93,"Heartstopper: Volume Three (Heartstopper, #3)",Alice Oseman,2020,"In this volume we’ll see the Heartstopper gang go on a school trip to Paris! Not only are Nick and Charlie navigating a new city, but also telling more people about their relationship AND learning more about the challenges each other are facing in private…Meanwhile Tao and Elle will face their feelings for each other, Tara and Darcy share more about their relationship orig",384,4.63,273686
94,The Princess Bride (Paperback),William Goldman,1973,"What happens when the most beautiful girl in the world marries the handsomest prince of all time and he turns out to be...well...a lot less than the man of her dreams?As a boy, William Goldman claims, he loved to hear his father read the S. Morgenstern classic, The Princess Bride. But as a grown-up he discovered that the boring parts were left out of good old Dad's recitat",456,4.26,852415
95,"Bringing Down the Duke (A League of Extraordinary Women, #1)",Evie Dunmore,2019,"England, 1879. Annabelle Archer, the brilliant but destitute daughter of a country vicar, has earned herself a place among the first cohort of female students at the renowned University of Oxford. In return for her scholarship, she must support the rising women's suffrage movement. Her charge: recruit men of influence to champion their cause. Her target: Sebastian Devereux",335,3.97,63015
96,Verity (Paperback),Colleen Hoover,2018,"Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish.Lowen arrives at the Crawford home, ready to sort through years of Verity's notes and ou",336,4.42,1214264
97,Attachments (Hardcover),Rainbow Rowell,2011,"""Hi, I'm the guy who reads your e-mail, and also, I love you...""Beth Fremont and Jennifer Scribner-Snyder know that somebody is monitoring their work e-mail. (Everybody in the newsroom knows. It's company policy.) But they can't quite bring themselves to take it seriously. They go on sending each other endless and endlessly hilarious e-mails, discussing every aspect of the",323,3.88,190317
98,"Dragonfly in Amber (Outlander, #2)",Diana Gabaldon,1992,An alternate cover edition can be found here.From the author of Outlander... a magnificent epic that once again sweeps us back in time to the drama and passion of 18th-century Scotland...For twenty years Claire Randall has kept her secrets. But now she is returning with her grown daughter to Scotland's majestic mist-shrouded hills. Here Claire plans to reveal a truth as st,947,4.33,327326
